id_departamento,Provincia,Departamento
2000,Ciudad de Buenos Aires,CIUDAD AUTÓNOMA DE BUENOS AIRES
6007,Buenos Aires,ADOLFO ALSINA
6014,Buenos Aires,ADOLFO GONZALES CHAVES
6021,Buenos Aires,ALBERTI
6028,Buenos Aires,ALMIRANTE BROWN
6035,Buenos Aires,AVELLANEDA
6042,Buenos Aires,AYACUCHO
6049,Buenos Aires,AZUL
6056,Buenos Aires,BAHIA BLANCA
6063,Buenos Aires,BALCARCE
6070,Buenos Aires,BARADERO
6077,Buenos Aires,ARRECIFES
6084,Buenos Aires,BENITO JUAREZ
6091,Buenos Aires,BERAZATEGUI
6098,Buenos Aires,BERISSO
6105,Buenos Aires,BOLIVAR
6112,Buenos Aires,BRAGADO
6119,Buenos Aires,BRANDSEN
6126,Buenos Aires,CAMPANA
6134,Buenos Aires,CAÑUELAS
6140,Buenos Aires,CAPITAN SARMIENTO
6147,Buenos Aires,CARLOS CASARES
6154,Buenos Aires,CARLOS TEJEDOR
6161,Buenos Aires,CARMEN DE ARECO
6168,Buenos Aires,CASTELLI
6175,Buenos Aires,COLON
6182,Buenos Aires,CORONEL DE MARINA L ROSALES
6189,Buenos Aires,CORONEL DORREGO
6196,Buenos Aires,CORONEL PRINGLES
6203,Buenos Aires,CORONEL SUAREZ
6210,Buenos Aires,CHACABUCO
6218,Buenos Aires,CHASCOMUS
6224,Buenos Aires,CHIVILCOY
6231,Buenos Aires,DAIREAUX
6238,Buenos Aires,DOLORES
6245,Buenos Aires,ENSENADA
6252,Buenos Aires,ESCOBAR
6260,Buenos Aires,ESTEBAN ECHEVERRIA
6266,Buenos Aires,EXALTACION DE LA CRUZ
6270,Buenos Aires,EZEIZA
6274,Buenos Aires,FLORENCIO VARELA
6277,Buenos Aires,FLORENTINO AMEGHINO
6280,Buenos Aires,GENERAL ALVARADO
6287,Buenos Aires,GENERAL ALVEAR
6294,Buenos Aires,GENERAL ARENALES
6301,Buenos Aires,GENERAL BELGRANO
6308,Buenos Aires,GENERAL GUIDO
6315,Buenos Aires,GENERAL JUAN MADARIAGA
6322,Buenos Aires,GENERAL LA MADRID
6329,Buenos Aires,GENERAL LAS HERAS
6336,Buenos Aires,GENERAL LAVALLE
6343,Buenos Aires,GENERAL PAZ
6351,Buenos Aires,GENERAL PINTO
6357,Buenos Aires,GENERAL PUEYRREDON
6364,Buenos Aires,GENERAL RODRIGUEZ
6371,Buenos Aires,GENERAL SAN MARTIN
6385,Buenos Aires,GENERAL VIAMONTE
6392,Buenos Aires,GENERAL VILLEGAS
6399,Buenos Aires,GUAMINI
